,id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
183,184,0.47149855479999997,male,17.0,pacific,34.0,57832.5,60.0,61.0,60.0,76.3,mod. satisfied,strongly agree,disagree,disagree,disagree,agree
184,185,0.47149855479999997,male,16.0,pacific,46.0,98140.0,47.0,,32.0,57.8,very dissatisfied,strongly disagree,disagree,disagree,disagree,agree
185,186,1.885994219,female,14.0,pacific,21.0,112160.0,31.0,64.0,48.0,19.6,,,,,,
186,187,0.9429971097,female,11.0,pacific,72.0,70100.0,39.0,35.0,,38.1,,agree,strongly disagree,disagree,strongly disagree,strongly agree
187,188,0.9429971097,male,16.0,pacific,46.0,84120.0,65.0,48.0,39.0,80.7,a little dissat,disagree,agree,disagree,agree,agree
188,189,1.885994219,female,14.0,pacific,21.0,,18.0,38.0,60.0,30.3,,,,,,
189,190,0.9429971097,male,13.0,pacific,46.0,57832.5,34.0,45.0,34.0,21.6,very satisfied,agree,disagree,disagree,agree,disagree
190,191,0.9429971097,male,12.0,pacific,53.0,84120.0,49.0,35.0,36.0,37.2,very satisfied,,,,,
191,192,0.9429971097,female,18.0,pacific,74.0,158201.8412,61.0,31.0,,80.9,,,,,,
192,193,1.4144956640000002,male,6.0,pacific,70.0,350.5,,,49.0,,mod. satisfied,disagree,agree,disagree,disagree,disagree
193,194,0.9429971097,female,16.0,pacific,36.0,70100.0,47.0,38.0,50.0,51.6,very satisfied,strongly agree,agree,disagree,disagree,agree
194,195,0.47149855479999997,male,11.0,pacific,57.0,13143.75,43.0,27.0,62.0,36.2,,strongly disagree,strongly disagree,disagree,strongly disagree,strongly agree
195,196,0.47149855479999997,male,16.0,pacific,60.0,70100.0,48.0,61.0,38.0,57.5,mod. satisfied,agree,agree,disagree,disagree,neither agree nor disagree
196,197,1.885994219,female,12.0,pacific,53.0,47317.5,22.0,,46.0,24.8,very satisfied,disagree,disagree,disagree,strongly disagree,disagree
197,198,0.9429971097,male,12.0,pacific,69.0,70100.0,37.0,25.0,45.0,18.6,very satisfied,agree,agree,disagree,agree,agree
198,199,1.4144956640000002,female,16.0,pacific,38.0,98140.0,46.0,25.0,,52.0,very satisfied,,,,,
199,200,1.4144956640000002,female,14.0,pacific,48.0,158201.8412,46.0,46.0,40.0,61.4,very satisfied,strongly agree,strongly disagree,agree,strongly disagree,agree
200,201,2.35896796,male,16.0,pacific,30.0,57832.5,47.0,46.0,65.0,50.0,a little dissat,strongly agree,strongly disagree,disagree,disagree,disagree
201,202,0.9429971097,male,13.0,pacific,29.0,158201.8412,38.0,,,43.0,very satisfied,disagree,disagree,disagree,agree,agree
202,203,0.9429971097,female,16.0,pacific,68.0,84120.0,45.0,45.0,31.0,62.0,,,,,,
203,204,0.9429971097,female,13.0,pacific,64.0,57832.5,29.0,46.0,49.0,39.5,mod. satisfied,strongly disagree,disagree,disagree,disagree,disagree
204,205,0.9429971097,male,16.0,pacific,43.0,57832.5,39.0,32.0,35.0,67.7,mod. satisfied,,,,,
205,206,0.47149855479999997,female,12.0,pacific,69.0,70100.0,32.0,,40.0,35.8,,agree,strongly disagree,disagree,disagree,neither agree nor disagree
206,207,0.9429971097,male,12.0,pacific,47.0,84120.0,38.0,47.0,46.0,43.0,a little dissat,agree,disagree,disagree,disagree,disagree
207,208,0.9429971097,male,12.0,pacific,57.0,57832.5,39.0,30.0,31.0,38.1,very satisfied,disagree,disagree,agree,disagree,disagree
208,209,0.9429971097,male,16.0,pacific,50.0,70100.0,55.0,53.0,,70.4,mod. satisfied,,,,,
209,210,0.9429971097,female,12.0,pacific,25.0,,24.0,38.0,31.0,17.1,a little dissat,strongly agree,strongly disagree,disagree,strongly disagree,neither agree nor disagree
