,id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
495,496,0.9429971097,female,11.0,w. sou. central,35.0,11391.25,39.0,35.0,32.0,38.1,very satisfied,strongly agree,disagree,agree,disagree,disagree
496,497,0.9429971097,female,13.0,w. sou. central,33.0,31545.0,22.0,33.0,,14.8,very satisfied,,,,,
497,498,0.47149855479999997,female,6.0,w. sou. central,66.0,2453.5,25.0,21.0,,12.6,,,,,,
498,499,1.4144956640000002,male,10.0,w. sou. central,53.0,22782.5,24.0,,,20.7,very satisfied,agree,agree,disagree,strongly agree,disagree
499,500,0.9429971097,female,16.0,w. sou. central,37.0,57832.5,36.0,60.0,40.0,24.6,mod. satisfied,disagree,strongly agree,disagree,strongly agree,strongly agree
500,501,0.9429971097,male,12.0,w. sou. central,33.0,57832.5,32.0,46.0,31.0,26.2,mod. satisfied,strongly agree,disagree,disagree,disagree,disagree
501,502,0.9429971097,male,16.0,w. sou. central,28.0,70100.0,63.0,74.0,49.0,79.3,very satisfied,strongly agree,disagree,disagree,disagree,agree
502,503,0.9429971097,female,16.0,w. sou. central,30.0,70100.0,55.0,28.0,45.0,77.0,mod. satisfied,,,,,
503,504,0.9429971097,male,11.0,w. sou. central,37.0,70100.0,44.0,16.0,48.0,77.9,mod. satisfied,,,,,
504,505,0.9429971097,male,16.0,w. sou. central,38.0,112160.0,55.0,64.0,48.0,71.8,very satisfied,strongly agree,strongly disagree,disagree,agree,agree
505,506,0.9429971097,male,14.0,w. sou. central,84.0,31545.0,32.0,28.0,49.0,38.2,,,,,,
506,507,1.4144956640000002,male,17.0,w. sou. central,66.0,98140.0,44.0,61.0,74.0,56.8,very satisfied,agree,disagree,disagree,disagree,neither agree nor disagree
507,508,0.9429971097,female,16.0,w. sou. central,29.0,70100.0,65.0,61.0,65.0,80.7,very satisfied,strongly agree,disagree,disagree,strongly disagree,disagree
508,509,0.9429971097,male,17.0,w. sou. central,39.0,158201.8412,51.0,60.0,70.0,78.3,mod. satisfied,,,,,
509,510,0.9429971097,female,16.0,w. sou. central,33.0,112160.0,60.0,64.0,47.0,76.3,a little dissat,strongly agree,strongly disagree,disagree,strongly disagree,disagree
510,511,0.47149855479999997,female,18.0,w. sou. central,68.0,47317.5,63.0,,46.0,79.3,very satisfied,,,,,
511,512,0.9429971097,female,16.0,w. sou. central,70.0,,43.0,64.0,73.0,61.2,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
512,513,0.9429971097,male,16.0,w. sou. central,50.0,19277.5,74.0,,46.0,84.5,very satisfied,disagree,agree,disagree,strongly agree,agree
513,514,0.9429971097,male,17.0,w. sou. central,54.0,112160.0,48.0,45.0,50.0,70.5,mod. satisfied,strongly agree,disagree,disagree,agree,neither agree nor disagree
514,515,0.9429971097,male,16.0,w. sou. central,45.0,158201.8412,45.0,47.0,,62.1,mod. satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
515,516,0.9429971097,female,14.0,w. sou. central,48.0,158201.8412,49.0,,69.0,56.9,mod. satisfied,,,,,
516,517,0.9429971097,male,16.0,w. sou. central,73.0,84120.0,47.0,37.0,49.0,57.8,,,,,,
517,518,0.9429971097,female,18.0,w. sou. central,77.0,22782.5,64.0,,46.0,82.5,,agree,disagree,disagree,disagree,neither agree nor disagree
518,519,0.47149855479999997,female,16.0,w. sou. central,59.0,84120.0,53.0,32.0,42.0,69.3,very satisfied,,,,,
519,520,0.9429971097,male,12.0,w. sou. central,72.0,38555.0,48.0,47.0,32.0,54.3,,disagree,disagree,disagree,disagree,agree
520,521,0.9429971097,male,18.0,w. sou. central,68.0,57832.5,70.0,,40.0,83.8,,,,,,
521,522,0.9429971097,female,12.0,w. sou. central,60.0,47317.5,47.0,60.0,74.0,38.8,very satisfied,agree,disagree,agree,agree,agree
522,523,1.4144956640000002,male,12.0,w. sou. central,63.0,84120.0,38.0,35.0,27.0,28.4,very satisfied,agree,disagree,disagree,disagree,agree
523,524,0.47149855479999997,male,14.0,w. sou. central,45.0,11391.25,35.0,,45.0,32.0,a little dissat,strongly agree,disagree,,disagree,agree
524,525,0.9429971097,female,13.0,w. sou. central,35.0,158201.8412,31.0,,50.0,39.7,very satisfied,,,,,
525,526,1.885994219,female,12.0,w. sou. central,22.0,14896.25,31.0,31.0,35.0,39.7,mod. satisfied,strongly agree,agree,disagree,strongly disagree,agree
526,527,0.9429971097,female,12.0,w. sou. central,36.0,,27.0,47.0,,14.0,very satisfied,strongly agree,agree,agree,disagree,disagree
527,528,0.9429971097,female,13.0,w. sou. central,76.0,6309.0,34.0,,46.0,17.0,mod. satisfied,strongly agree,strongly disagree,disagree,agree,agree
528,529,0.9429971097,female,12.0,w. sou. central,61.0,47317.5,38.0,32.0,65.0,27.0,a little dissat,agree,agree,agree,disagree,agree
529,530,0.47149855479999997,female,12.0,w. sou. central,56.0,38555.0,48.0,47.0,48.0,57.5,mod. satisfied,,,,,
530,531,0.47149855479999997,female,12.0,w. sou. central,26.0,2453.5,31.0,39.0,,39.7,mod. satisfied,agree,agree,disagree,disagree,agree
531,532,0.47149855479999997,male,13.0,w. sou. central,59.0,9638.75,35.0,,,32.0,,agree,strongly disagree,disagree,disagree,disagree
532,533,0.47149855479999997,male,12.0,w. sou. central,55.0,31545.0,61.0,,50.0,60.5,mod. satisfied,disagree,agree,agree,disagree,agree
533,534,1.885994219,male,18.0,w. sou. central,57.0,84120.0,53.0,47.0,73.0,73.9,very satisfied,,,,,
534,535,1.4144956640000002,female,14.0,w. sou. central,59.0,158201.8412,60.0,48.0,51.0,41.4,,strongly agree,strongly disagree,disagree,strongly disagree,neither agree nor disagree
535,536,0.9429971097,female,14.0,w. sou. central,33.0,16648.75,74.0,47.0,44.0,84.5,very satisfied,,,,,
536,537,0.47149855479999997,female,2.0,w. sou. central,75.0,350.5,24.0,,27.0,20.7,very satisfied,strongly agree,strongly agree,disagree,strongly disagree,disagree
537,538,0.9429971097,male,18.0,w. sou. central,61.0,158201.8412,53.0,42.0,45.0,64.2,mod. satisfied,agree,strongly disagree,disagree,strongly disagree,disagree
538,539,0.9429971097,female,13.0,w. sou. central,39.0,38555.0,49.0,46.0,38.0,62.1,mod. satisfied,,,,,
539,540,0.9429971097,female,12.0,w. sou. central,38.0,47317.5,38.0,,49.0,25.7,mod. satisfied,agree,agree,disagree,agree,disagree
540,541,0.9429971097,female,17.0,w. sou. central,49.0,70100.0,75.0,64.0,46.0,89.3,very satisfied,,,,,
541,542,0.9429971097,male,16.0,w. sou. central,71.0,158201.8412,66.0,69.0,60.0,66.4,,disagree,disagree,disagree,disagree,agree
542,543,0.47149855479999997,male,16.0,w. sou. central,47.0,70100.0,66.0,44.0,47.0,66.4,very satisfied,agree,disagree,disagree,disagree,strongly disagree
543,544,0.9429971097,male,13.0,w. sou. central,52.0,158201.8412,42.0,,72.0,35.3,very satisfied,,,,,
544,545,0.47149855479999997,female,17.0,w. sou. central,35.0,84120.0,64.0,31.0,,84.2,very satisfied,strongly agree,disagree,disagree,disagree,disagree
545,546,0.9429971097,female,12.0,w. sou. central,54.0,31545.0,,,38.0,,mod. satisfied,,,,,
546,547,0.9429971097,female,12.0,w. sou. central,39.0,14896.25,48.0,31.0,,57.5,,disagree,agree,agree,agree,strongly agree
547,548,0.47149855479999997,male,11.0,w. sou. central,70.0,11391.25,36.0,27.0,29.0,26.1,,strongly disagree,strongly disagree,agree,strongly agree,strongly disagree
548,549,0.47149855479999997,female,12.0,w. sou. central,78.0,350.5,48.0,,46.0,20.1,very satisfied,disagree,strongly agree,disagree,agree,disagree
549,550,0.47149855479999997,female,20.0,south atlantic,74.0,70100.0,59.0,,52.0,75.5,,strongly agree,strongly disagree,disagree,strongly disagree,neither agree nor disagree
550,551,0.9429971097,male,16.0,south atlantic,65.0,47317.5,67.0,,38.0,73.6,very satisfied,agree,disagree,disagree,agree,strongly agree
551,552,0.47149855479999997,male,13.0,south atlantic,61.0,158201.8412,43.0,,38.0,61.2,very satisfied,strongly agree,disagree,disagree,disagree,agree
552,553,0.9429971097,female,16.0,middle atlantic,53.0,112160.0,53.0,31.0,31.0,73.9,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
553,554,1.4144956640000002,female,12.0,middle atlantic,21.0,57832.5,31.0,36.0,36.0,39.7,very satisfied,,,,,
554,555,0.9429971097,female,17.0,middle atlantic,41.0,47317.5,64.0,64.0,80.0,84.2,very satisfied,strongly agree,disagree,disagree,disagree,neither agree nor disagree
555,556,0.9429971097,female,14.0,middle atlantic,62.0,47317.5,28.0,31.0,38.0,21.6,very satisfied,agree,disagree,disagree,disagree,disagree
556,557,0.9429971097,male,16.0,middle atlantic,71.0,158201.8412,64.0,48.0,60.0,71.8,,strongly disagree,agree,disagree,agree,neither agree nor disagree
557,558,0.9429971097,male,16.0,middle atlantic,89.0,16648.75,32.0,,35.0,35.8,,,,,,
558,559,1.4144956640000002,male,17.0,middle atlantic,66.0,98140.0,60.0,39.0,53.0,76.3,very satisfied,disagree,strongly disagree,disagree,disagree,agree
559,560,1.4144956640000002,male,16.0,middle atlantic,28.0,112160.0,58.0,64.0,70.0,72.7,mod. satisfied,,,,,
560,561,0.47149855479999997,female,17.0,middle atlantic,85.0,47317.5,61.0,38.0,,80.9,,agree,disagree,disagree,agree,agree
561,562,0.9429971097,male,12.0,middle atlantic,70.0,84120.0,31.0,31.0,,40.4,very satisfied,strongly agree,strongly disagree,disagree,disagree,agree
562,563,0.9429971097,female,16.0,middle atlantic,29.0,47317.5,60.0,33.0,39.0,87.9,very satisfied,disagree,disagree,agree,agree,neither agree nor disagree
563,564,0.9429971097,male,16.0,middle atlantic,39.0,57832.5,53.0,64.0,49.0,69.3,very satisfied,strongly agree,disagree,disagree,agree,agree
564,565,0.9429971097,male,16.0,middle atlantic,28.0,47317.5,38.0,45.0,72.0,43.0,mod. satisfied,,,,,
565,566,0.47149855479999997,female,16.0,middle atlantic,74.0,38555.0,55.0,,80.0,61.4,mod. satisfied,,,,,
566,567,3.53845194,female,16.0,middle atlantic,53.0,112160.0,44.0,24.0,35.0,56.8,mod. satisfied,strongly agree,strongly disagree,disagree,disagree,disagree
567,568,0.9429971097,male,20.0,middle atlantic,66.0,47317.5,69.0,,34.0,91.1,,agree,disagree,disagree,disagree,agree
568,569,2.35896796,male,16.0,middle atlantic,67.0,158201.8412,45.0,50.0,45.0,62.0,mod. satisfied,strongly agree,disagree,disagree,disagree,disagree
569,570,2.35896796,female,16.0,middle atlantic,,,75.0,,59.0,91.1,very satisfied,agree,disagree,disagree,disagree,disagree
570,571,0.47149855479999997,female,20.0,middle atlantic,28.0,22782.5,73.0,45.0,39.0,85.8,mod. satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
571,572,0.9429971097,female,16.0,middle atlantic,23.0,22782.5,39.0,48.0,60.0,67.7,mod. satisfied,,,,,
572,573,0.9429971097,male,20.0,middle atlantic,37.0,84120.0,45.0,70.0,70.0,59.8,very satisfied,,strongly disagree,disagree,disagree,agree
573,574,0.47149855479999997,male,12.0,middle atlantic,27.0,47317.5,35.0,35.0,45.0,32.0,a little dissat,,,,,
574,575,0.9429971097,female,14.0,middle atlantic,32.0,7886.25,38.0,48.0,,25.7,mod. satisfied,,,,,
575,576,0.9429971097,female,12.0,middle atlantic,40.0,11391.25,47.0,55.0,,38.8,very dissatisfied,strongly agree,strongly agree,disagree,strongly agree,disagree
576,577,1.4144956640000002,female,16.0,middle atlantic,22.0,47317.5,,39.0,,,,,,,,
577,578,0.9429971097,male,14.0,middle atlantic,38.0,13143.75,24.0,28.0,,21.0,mod. satisfied,,,,,
578,579,0.47149855479999997,female,15.0,middle atlantic,45.0,22782.5,47.0,60.0,53.0,38.8,very satisfied,strongly agree,disagree,disagree,disagree,disagree
579,580,0.47149855479999997,male,12.0,middle atlantic,63.0,11391.25,60.0,47.0,46.0,76.3,,agree,disagree,disagree,disagree,neither agree nor disagree
580,581,0.47149855479999997,female,20.0,middle atlantic,30.0,38555.0,62.0,49.0,,71.4,very dissatisfied,strongly agree,strongly disagree,disagree,strongly disagree,strongly disagree
581,582,0.9429971097,male,12.0,middle atlantic,25.0,7886.25,47.0,32.0,,38.8,a little dissat,strongly agree,strongly disagree,disagree,disagree,strongly disagree
582,583,0.47149855479999997,female,12.0,middle atlantic,44.0,31545.0,45.0,36.0,38.0,62.0,mod. satisfied,,,,,
583,584,0.9429971097,male,12.0,middle atlantic,56.0,16648.75,33.0,53.0,35.0,13.6,mod. satisfied,agree,disagree,disagree,agree,agree
584,585,0.9429971097,female,12.0,middle atlantic,45.0,57832.5,24.0,35.0,29.0,20.7,mod. satisfied,,,,,
585,586,0.47149855479999997,female,7.0,middle atlantic,27.0,7886.25,48.0,21.0,35.0,24.2,very satisfied,strongly agree,strongly disagree,disagree,disagree,disagree
586,587,0.9429971097,male,17.0,middle atlantic,53.0,31545.0,40.0,,42.0,28.3,very satisfied,disagree,agree,disagree,disagree,agree
587,588,0.47149855479999997,female,15.0,w. sou. central,66.0,19277.5,46.0,25.0,,60.2,very satisfied,agree,strongly disagree,disagree,disagree,disagree
588,589,0.47149855479999997,female,18.0,w. sou. central,48.0,70100.0,45.0,45.0,,62.1,very satisfied,strongly agree,strongly disagree,disagree,disagree,disagree
589,590,1.4144956640000002,female,14.0,w. sou. central,50.0,70100.0,48.0,38.0,39.0,24.2,mod. satisfied,strongly disagree,strongly agree,disagree,strongly disagree,agree
590,591,1.4144956640000002,female,11.0,w. sou. central,18.0,,41.0,,35.0,38.9,very satisfied,disagree,disagree,disagree,disagree,disagree
591,592,0.47149855479999997,male,16.0,w. sou. central,51.0,16648.75,53.0,64.0,44.0,59.1,very satisfied,,,,,
592,593,0.47149855479999997,female,13.0,w. sou. central,63.0,47317.5,69.0,35.0,24.0,46.6,very satisfied,agree,disagree,disagree,disagree,disagree
593,594,1.4144956640000002,female,12.0,w. sou. central,57.0,47317.5,24.0,48.0,,20.7,very satisfied,,,,,
594,595,0.47149855479999997,male,16.0,w. sou. central,68.0,16648.75,66.0,,35.0,63.2,,strongly agree,strongly disagree,agree,agree,strongly disagree
595,596,0.9429971097,male,14.0,w. sou. central,64.0,70100.0,49.0,,35.0,53.2,very satisfied,disagree,disagree,disagree,agree,disagree
596,597,1.885994219,male,12.0,w. sou. central,26.0,31545.0,27.0,25.0,,19.7,mod. satisfied,disagree,strongly agree,disagree,agree,agree
597,598,0.9429971097,female,16.0,w. sou. central,58.0,158201.8412,65.0,45.0,30.0,80.7,very satisfied,,,,,
598,599,0.47149855479999997,female,19.0,w. sou. central,53.0,158201.8412,58.0,54.0,35.0,71.7,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,agree
599,600,0.9429971097,male,12.0,w. sou. central,28.0,11391.25,38.0,25.0,35.0,28.4,mod. satisfied,disagree,strongly agree,disagree,strongly agree,strongly agree
600,601,0.9429971097,female,11.0,w. sou. central,30.0,19277.5,31.0,31.0,,19.6,mod. satisfied,strongly agree,disagree,agree,agree,strongly agree
601,602,0.9429971097,male,14.0,w. sou. central,53.0,70100.0,60.0,,39.0,65.3,,disagree,agree,disagree,agree,agree
602,603,0.9429971097,male,13.0,w. sou. central,56.0,47317.5,48.0,,65.0,64.5,very satisfied,disagree,strongly agree,agree,strongly agree,strongly agree
603,604,1.885994219,male,12.0,w. sou. central,20.0,6309.0,40.0,35.0,38.0,28.3,,agree,disagree,disagree,disagree,agree
604,605,0.47149855479999997,female,16.0,w. sou. central,64.0,158201.8412,53.0,36.0,47.0,64.2,very dissatisfied,strongly agree,disagree,disagree,strongly disagree,disagree
605,606,0.9429971097,male,12.0,w. sou. central,40.0,26287.5,28.0,,34.0,25.2,mod. satisfied,disagree,disagree,disagree,agree,disagree
606,607,0.9429971097,female,9.0,w. sou. central,64.0,19277.5,37.0,,46.0,18.6,mod. satisfied,disagree,agree,disagree,disagree,disagree
607,608,0.47149855479999997,female,14.0,w. sou. central,39.0,47317.5,35.0,60.0,,32.0,very satisfied,strongly agree,disagree,disagree,disagree,disagree
608,609,2.3574927740000002,female,9.0,w. sou. central,42.0,4556.5,50.0,,27.0,32.6,very satisfied,,,,,
609,610,1.885994219,male,11.0,w. sou. central,22.0,,27.0,,28.0,14.0,very satisfied,disagree,agree,agree,strongly agree,agree
610,611,3.53845194,male,5.0,w. sou. central,51.0,11391.25,35.0,,27.0,19.2,a little dissat,disagree,agree,disagree,agree,agree
611,612,0.9429971097,female,9.0,w. sou. central,40.0,22782.5,28.0,,38.0,25.2,very satisfied,,,,,
612,613,0.9429971097,male,10.0,w. sou. central,40.0,84120.0,45.0,33.0,44.0,38.8,very satisfied,agree,disagree,disagree,disagree,strongly agree
613,614,0.9429971097,female,15.0,w. sou. central,24.0,47317.5,,47.0,,,very satisfied,agree,strongly disagree,disagree,agree,strongly agree
614,615,0.9429971097,female,9.0,w. sou. central,27.0,3855.5,24.0,,45.0,14.6,mod. satisfied,agree,agree,disagree,disagree,disagree
615,616,0.9429971097,female,7.0,w. sou. central,34.0,14896.25,35.0,,,21.8,very satisfied,,,,,
616,617,1.4144956640000002,female,14.0,w. sou. central,24.0,6309.0,,28.0,28.0,,,,,,,
617,618,0.9429971097,female,12.0,w. sou. central,34.0,3154.5,,45.0,31.0,,very satisfied,strongly agree,strongly agree,,strongly agree,strongly agree
618,619,0.9429971097,female,16.0,w. sou. central,44.0,13143.75,61.0,,62.0,80.9,mod. satisfied,,,,,
619,620,0.47149855479999997,female,12.0,w. sou. central,80.0,22782.5,37.0,45.0,53.0,32.6,very satisfied,agree,disagree,disagree,strongly disagree,agree
620,621,0.9429971097,female,16.0,w. sou. central,61.0,158201.8412,47.0,,73.0,38.8,very satisfied,agree,disagree,disagree,disagree,disagree
621,622,1.4144956640000002,female,12.0,w. sou. central,39.0,84120.0,31.0,60.0,46.0,39.7,a little dissat,disagree,disagree,disagree,disagree,disagree
622,623,2.35896796,female,20.0,w. sou. central,41.0,70100.0,51.0,59.0,,78.3,very satisfied,strongly agree,disagree,disagree,strongly disagree,neither agree nor disagree
623,624,0.9429971097,male,14.0,w. sou. central,34.0,57832.5,45.0,69.0,,38.8,very satisfied,strongly disagree,disagree,agree,agree,strongly agree
624,625,0.9429971097,female,19.0,w. sou. central,70.0,,61.0,31.0,31.0,80.9,,strongly agree,agree,agree,disagree,agree
625,626,0.9429971097,female,15.0,w. sou. central,49.0,84120.0,62.0,47.0,,79.9,very satisfied,,,,,
626,627,0.9429971097,female,19.0,w. sou. central,59.0,,38.0,,62.0,27.0,,strongly agree,disagree,disagree,disagree,agree
627,628,0.47149855479999997,female,20.0,w. sou. central,31.0,26287.5,69.0,69.0,59.0,91.1,very satisfied,,,,,
628,629,0.47149855479999997,male,16.0,w. sou. central,77.0,38555.0,61.0,47.0,50.0,60.5,,agree,disagree,agree,agree,agree
629,630,0.47149855479999997,female,17.0,w. sou. central,40.0,,35.0,36.0,,21.8,mod. satisfied,agree,agree,agree,agree,agree
630,631,0.9429971097,female,16.0,south atlantic,53.0,,45.0,,,59.8,mod. satisfied,,,,,
631,632,1.17948398,female,12.0,south atlantic,29.0,13143.75,31.0,31.0,28.0,39.7,a little dissat,strongly agree,disagree,disagree,disagree,disagree
632,633,0.47149855479999997,female,15.0,south atlantic,39.0,26287.5,46.0,47.0,36.0,52.0,a little dissat,,,,,
633,634,0.47149855479999997,female,15.0,south atlantic,27.0,26287.5,33.0,32.0,44.0,63.7,very satisfied,strongly agree,disagree,disagree,strongly disagree,disagree
634,635,0.47149855479999997,male,18.0,south atlantic,62.0,57832.5,74.0,,46.0,84.5,very satisfied,agree,agree,disagree,,
635,636,0.9429971097,female,12.0,south atlantic,48.0,7886.25,33.0,40.0,,13.6,mod. satisfied,,,,,
636,637,0.9429971097,female,12.0,south atlantic,28.0,47317.5,26.0,,46.0,31.3,very satisfied,agree,disagree,disagree,agree,disagree
637,638,0.9429971097,male,12.0,south atlantic,47.0,9638.75,35.0,48.0,,20.9,mod. satisfied,strongly agree,agree,disagree,disagree,neither agree nor disagree
638,639,0.47149855479999997,female,13.0,south atlantic,42.0,26287.5,50.0,28.0,,38.3,mod. satisfied,agree,disagree,disagree,disagree,disagree
639,640,2.35896796,female,12.0,south atlantic,38.0,84120.0,47.0,,44.0,38.8,mod. satisfied,strongly agree,disagree,disagree,strongly disagree,neither agree nor disagree
640,641,0.9429971097,male,16.0,south atlantic,53.0,70100.0,74.0,40.0,59.0,84.5,mod. satisfied,agree,disagree,disagree,agree,agree
641,642,0.47149855479999997,male,14.0,south atlantic,40.0,47317.5,35.0,35.0,43.0,26.8,mod. satisfied,,,,,
642,643,0.9429971097,male,15.0,south atlantic,57.0,158201.8412,43.0,38.0,48.0,52.4,very satisfied,strongly agree,disagree,agree,strongly disagree,strongly disagree
643,644,0.9429971097,male,11.0,south atlantic,51.0,38555.0,54.0,31.0,72.0,55.1,very satisfied,agree,disagree,disagree,agree,strongly agree
644,645,0.47149855479999997,female,14.0,south atlantic,60.0,9638.75,80.0,47.0,,92.8,,,,,,
645,646,0.47149855479999997,female,18.0,south atlantic,55.0,84120.0,69.0,,46.0,46.6,very satisfied,disagree,strongly disagree,disagree,disagree,disagree
646,647,0.9429971097,female,14.0,south atlantic,40.0,158201.8412,22.0,35.0,50.0,17.5,mod. satisfied,strongly agree,strongly agree,agree,strongly disagree,agree
647,648,0.9429971097,male,11.0,south atlantic,25.0,,28.0,25.0,,25.2,mod. satisfied,disagree,strongly disagree,disagree,strongly agree,strongly agree
648,649,0.9429971097,female,6.0,south atlantic,19.0,13143.75,24.0,,46.0,20.7,mod. satisfied,disagree,strongly agree,disagree,strongly agree,neither agree nor disagree
649,650,0.47149855479999997,male,3.0,south atlantic,46.0,14896.25,46.0,,46.0,39.9,mod. satisfied,agree,agree,agree,disagree,disagree
650,651,0.47149855479999997,female,9.0,south atlantic,60.0,7886.25,45.0,33.0,,19.7,,agree,strongly agree,disagree,disagree,disagree
651,652,0.47149855479999997,female,12.0,south atlantic,22.0,3154.5,38.0,48.0,,25.7,mod. satisfied,strongly agree,disagree,disagree,strongly agree,neither agree nor disagree
652,653,0.9429971097,female,19.0,south atlantic,29.0,38555.0,67.0,48.0,60.0,73.6,mod. satisfied,disagree,strongly disagree,disagree,disagree,agree
653,654,0.47149855479999997,male,16.0,south atlantic,28.0,22782.5,29.0,67.0,35.0,29.5,a little dissat,,,,,
654,655,0.47149855479999997,female,12.0,south atlantic,36.0,9638.75,25.0,48.0,,12.6,mod. satisfied,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree
655,656,0.9429971097,female,16.0,south atlantic,29.0,22782.5,48.0,35.0,71.0,26.1,very satisfied,,,,,
656,657,0.9429971097,male,12.0,south atlantic,40.0,31545.0,35.0,,37.0,25.1,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,strongly disagree
657,658,0.47149855479999997,male,14.0,south atlantic,47.0,57832.5,45.0,64.0,46.0,62.0,mod. satisfied,,,,,
658,659,0.47149855479999997,female,13.0,south atlantic,,57832.5,51.0,47.0,34.0,28.7,,strongly agree,disagree,disagree,agree,disagree
659,660,0.9429971097,male,14.0,south atlantic,51.0,22782.5,50.0,,35.0,32.6,very satisfied,disagree,disagree,disagree,disagree,agree
660,661,0.47149855479999997,male,13.0,south atlantic,63.0,11391.25,51.0,39.0,60.0,61.9,mod. satisfied,,,,,
661,662,0.47149855479999997,male,13.0,south atlantic,33.0,38555.0,39.0,32.0,,67.7,mod. satisfied,strongly agree,disagree,disagree,strongly disagree,agree
662,663,0.9429971097,female,12.0,south atlantic,47.0,38555.0,57.0,35.0,,53.8,very dissatisfied,,,,,
663,664,1.885994219,female,15.0,south atlantic,26.0,70100.0,31.0,61.0,24.0,37.6,very satisfied,strongly agree,disagree,agree,disagree,agree
664,665,0.9429971097,male,16.0,south atlantic,68.0,47317.5,66.0,47.0,45.0,62.6,mod. satisfied,strongly agree,strongly disagree,disagree,disagree,agree
665,666,0.9429971097,female,16.0,south atlantic,36.0,70100.0,53.0,64.0,62.0,73.9,a little dissat,,,,,
666,667,0.47149855479999997,male,14.0,south atlantic,34.0,70100.0,59.0,36.0,50.0,65.1,very satisfied,agree,disagree,disagree,disagree,agree
667,668,1.885994219,female,17.0,south atlantic,30.0,158201.8412,61.0,50.0,35.0,80.9,mod. satisfied,,,,,
668,669,0.9429971097,female,13.0,south atlantic,71.0,112160.0,24.0,31.0,48.0,30.9,,agree,disagree,disagree,disagree,agree
669,670,2.35896796,female,12.0,south atlantic,28.0,70100.0,25.0,74.0,72.0,23.3,very satisfied,,,,,
670,671,0.47149855479999997,male,16.0,south atlantic,65.0,47317.5,39.0,31.0,35.0,38.1,mod. satisfied,strongly agree,disagree,disagree,strongly disagree,agree
671,672,0.9429971097,male,12.0,south atlantic,49.0,158201.8412,53.0,47.0,,59.1,very satisfied,,,,,
672,673,1.17948398,male,12.0,south atlantic,32.0,16648.75,35.0,45.0,43.0,32.0,a little dissat,agree,agree,disagree,disagree,disagree
673,674,0.9429971097,female,15.0,south atlantic,21.0,3154.5,31.0,46.0,47.0,19.6,mod. satisfied,strongly agree,disagree,disagree,disagree,disagree
674,675,0.9429971097,female,14.0,south atlantic,38.0,38555.0,38.0,47.0,70.0,25.7,mod. satisfied,strongly agree,agree,disagree,strongly disagree,agree
675,676,3.53845194,male,14.0,south atlantic,22.0,47317.5,40.0,47.0,45.0,33.4,mod. satisfied,,,,,
676,677,0.9429971097,male,14.0,south atlantic,50.0,38555.0,40.0,34.0,24.0,49.4,very satisfied,strongly agree,strongly disagree,disagree,disagree,disagree
677,678,1.4144956640000002,male,13.0,south atlantic,86.0,7886.25,44.0,48.0,62.0,52.5,,disagree,strongly disagree,disagree,agree,disagree
678,679,1.4144956640000002,female,12.0,south atlantic,59.0,26287.5,64.0,48.0,46.0,84.2,very dissatisfied,agree,disagree,disagree,disagree,disagree
679,680,1.4144956640000002,female,15.0,south atlantic,28.0,26287.5,,60.0,,,,disagree,disagree,disagree,disagree,disagree
680,681,0.9429971097,male,15.0,south atlantic,54.0,57832.5,38.0,64.0,33.0,27.0,mod. satisfied,,,,,
681,682,0.9429971097,female,15.0,south atlantic,71.0,47317.5,38.0,61.0,24.0,59.1,very satisfied,agree,disagree,,disagree,neither agree nor disagree
682,683,1.4144956640000002,female,16.0,south atlantic,58.0,112160.0,38.0,,53.0,59.1,a little dissat,agree,disagree,disagree,disagree,agree
683,684,1.4144956640000002,female,3.0,south atlantic,88.0,,,,46.0,,,disagree,agree,agree,agree,agree
684,685,0.9429971097,male,12.0,south atlantic,34.0,98140.0,45.0,39.0,29.0,38.8,very satisfied,,,,,
685,686,0.9429971097,female,12.0,south atlantic,52.0,11391.25,31.0,56.0,45.0,39.7,a little dissat,,,,,
686,687,1.885994219,female,12.0,south atlantic,71.0,,32.0,,27.0,13.2,,strongly disagree,strongly agree,disagree,strongly agree,agree
687,688,0.9429971097,female,11.0,south atlantic,21.0,,28.0,39.0,,21.6,mod. satisfied,disagree,disagree,disagree,disagree,disagree
688,689,0.9429971097,male,12.0,south atlantic,23.0,6309.0,25.0,,,23.3,mod. satisfied,,,,,
689,690,0.47149855479999997,male,12.0,south atlantic,82.0,1402.0,33.0,,46.0,13.6,,strongly disagree,agree,disagree,strongly disagree,disagree
690,691,1.4144956640000002,male,12.0,south atlantic,34.0,31545.0,25.0,43.0,,23.3,mod. satisfied,,,,,
691,692,0.9429971097,female,14.0,south atlantic,32.0,16648.75,31.0,28.0,,37.6,very dissatisfied,strongly disagree,strongly disagree,disagree,strongly agree,agree
692,693,0.47149855479999997,female,15.0,south atlantic,43.0,31545.0,36.0,,46.0,44.6,very dissatisfied,agree,agree,agree,disagree,agree
